Producent,Nazwa,Moc,Pasmo,Protokół,Kanały,Wentylator,Mocowanie,Złącze,Kolor główny,Kolor dodatkowy,Sygnalizacja,Zdjęcie,Zdjęcie2,Zdjęcie3,Wygeneruj konfigurację,Strona producenta,Instrukcja,Dodatkowo:,"{bd, h}",{h},col23,col24,col25,col26,col27
FlytoFPV ,F6,2.5W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,MMCX,Czarny,Czarny,Diody LED,pic/flytofpv_f6_pic1.webp,pic/flytofpv_f6_pic2.webp,pic/flytofpv_f6_pic3.webp,,,,,,,,,,,
BelinRC,VTX,3W,"5.8G, 4.9G, 6.1G",Smart Audio,72Ch,Zdejmowany,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/belinrc_vtx_pic1.webp,pic/belinrc_vtx_pic2.webp,,,,,,,,,,,,
RockFlight,RFVTX 6420 6.4G,2W,6.1G,IRC Tramp,16Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/rockflight_rfvtx_6420_6.4g_pic1.webp,,pic/rockflight_rfvtx_6420_6.4g_pic3.webp,,,,,,,,,,,
METELYK,VTX,3W,5.8G,,48Ch,Wbudowany,20x20,MMCX,Niebieski,Biały,Diody LED,pic/metelyk_vtx_pic1.webp,pic/metelyk_vtx_pic2.webp,pic/metelyk_vtx_pic3.webp,,,,Moc nadajnika wideo nie jest regulowana zdalnie. Tylko za pomocą naciśnięcia przycisku na obudowie!,,,,,,,
Fatfish,VTX,2.5W,"5.8G, 4.9G, 6.1G",Smart Audio,72Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Zielony,Diody LED,pic/fatfish_vtx_pic1.webp,pic/fatfish_vtx_pic2.webp,pic/fatfish_vtx_pic3.webp,,https://www.fatfishfpv.com/product/x-drone/,,,,,,,,,
BEASTFPV,VTX,5W,"5.8G, 4.9G",IRC Tramp,64Ch,Wbudowany,20x20,MMCX,Czarny,Niebieski,Diody LED,pic/beastfpv_vtx_pic1.webp,,pic/beastfpv_vtx_pic3.webp,,https://beastfpv.ru/product/videoperedatchik-dlya-fpv-4-9-5-8ghz-64ch-5w-vtx-beastfpv/#,manuals/instrukcziya_na_russkom_videoperedatchik_beastfpv_4_9_5_8ghz_64ch_5w.pdf,,"Uwaga, wrogi produkt!",,,,,,
BEASTFPV,VTX,2.5W,"5.8G, 4.9G",IRC Tramp,64Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/beastfpv_vtx_2_pic1.webp,,pic/beastfpv_vtx_2_pic3.webp,,https://beastfpv.ru/product/beastfpv-4-9-5-8ghz-64ch-2-5w-vtx/#,manuals/instrukcziya_na_russkom_videoperedatchik_beastfpv_4_9_5_8ghz_64ch_5w.pdf,,"Uwaga, wrogi produkt!",,,,,,
BEASTFPV,VTX,5W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/beastfpv_vtx_3_pic1.webp,,pic/beastfpv_vtx_3_pic3.webp,,https://beastfpv.ru/product/videoperedatchik-fpv-3-3-ghz-16ch-3w-ne-standart/#,manuals/videoperedatchik_beastfpv_3_3ghz_5w_vtx_16ch_2-1.pdf,,"Uwaga, wrogi produkt!",,,,,,
BEASTFPV,VTX,5W,3.3G,IRC Tramp,32Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/beastfpv_vtx_4_pic1.webp,,pic/beastfpv_vtx_4_pic3.webp,,https://beastfpv.ru/product/videoperedatchik-fpv-3-3-ghz-32ch-5w-ne-standart/#,,,"Uwaga, wrogi produkt!",,,,,,
BEASTFPV,VTX,2.5W,1.2G,Brak,32Ch,Wbudowany,20x20,MMCX,Czarny,Niebieski,Diody LED,pic/beastfpv_vtx_5_pic1.webp,,pic/beastfpv_vtx_5_pic3.webp,,https://beastfpv.ru/product/videoperedatchik-fpv-beastfpv-1-4-ghz-32-ch/#,manuals/videoperedatchik-beastfpv-1.4ghz-5w-vtx-2.pdf,,"Uwaga, wrogi produkt!",,,,,,
KaraFPV,Teleport67 4W 6.1-7.2G,4W,"6.1G, 7G +",,,Wbudowany,41.5x30.5,SMA,Czarny,Biały,Ekran,pic/karafpv_teleport67_4w_6.1-7.2g_pic1.webp,pic/karafpv_teleport67_4w_6.1-7.2g_pic2.webp,,,,,,,,,,,,
Skylink,SK-VTX04,4.5W,3.3G,IRC Tramp,64Ch,Wbudowany,20x20,SMA,Szary,Pomarańczowy,Diody LED,pic/skylink_sk-vtx04_pic1.webp,pic/skylink_sk-vtx04_pic2.webp,pic/skylink_sk-vtx04_pic3.webp,,,,,,,,,,,
Skylink,SK-VTX11,10W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,SMA,Szary,Pomarańczowy,Ekran,pic/skylink_sk-vtx11_pic1.webp,pic/skylink_sk-vtx11_pic2.webp,pic/skylink_sk-vtx11_pic3.webp,,http://www.skylinkfpv.com/Products/product-175-935-e.html,,,,,,,,,
Skylink,SK-VTX05,4.5W,1.2G,IRC Tramp,16Ch,Wbudowany,20x20,SMA,Szary,Pomarańczowy,Diody LED,pic/skylink_sk-vtx05_pic1.webp,pic/skylink_sk-vtx05_pic2.webp,pic/skylink_sk-vtx05_pic3.webp,,,,,,,,,,,
Flymod,TX6704 6.1-7.2G,4W,"6.1G, 7G +",Smart Audio,64Ch,Wbudowany,41.5x30.5,SMA,Czarny,Szary,Ekran,pic/flymod_tx6704_6.1-7.2g_pic1.webp,pic/flymod_tx6704_6.1-7.2g_pic2.webp,pic/flymod_tx6704_6.1-7.2g_pic3.webp,,,manuals/vtx_skz_tx6704_manual.pdf,Może być oznaczany jako Skyzone TX6704,,,,,,,
DAKEFPV,Reaper 5G8,2.5W,"5.8G, 4.9G",IRC Tramp,64Ch,Brak,20x20,MMCX,Czarny,Biały,Diody LED,pic/dakefpv_reaper_5g8_pic1.webp,pic/dakefpv_reaper_5g8_pic2.webp,,,https://www.dakefpv.com/pd.jsp?id=85,,,,,,,,,
DAKEFPV,5G 3W,3W,"5.8G, 4.9G",IRC Tramp,64Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/dakefpv_5g_3w_pic1.webp,pic/dakefpv_5g_3w_pic2.webp,,,https://www.dakefpv.com/pd.jsp?id=86,,,,,,,,,
Cyclone,XF5804 Pro,0.6W,5.8G,Smart Audio,48Ch,Brak,30.5x30.5,MMCX,Niebieski,Biały,Diody LED,pic/cyclone_xf5804_pro_pic1.webp,pic/cyclone_xf5804_pro_pic2.webp,,,,manuals/cyclone_XF5804 Pro.jpg,,,,,,,,
OddityRC,VTX,5W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,SMA,Czarny,Biały,Diody LED,pic/oddityrc_vtx_pic1.webp,,pic/oddityrc_vtx_pic3.webp,,https://oddityrc.com/products/oddityrc-3-3g-5w-vtx,,,,,,,,,
